,OID_,Id,Species,decLong,decLat
1,1,0,Centronyx henslowii,-90.1877975,30.4183998
5,5,0,Centronyx henslowii,-89.9686966,30.4328995
6,6,0,Centronyx henslowii,-90.106102,30.5002995
7,7,0,Centronyx henslowii,-95.3595963,28.9540997
8,8,0,Centronyx henslowii,-88.6606979,30.4454994
9,9,0,Centronyx henslowii,-94.4950027,32.7514992
10,10,0,Centronyx henslowii,-95.4637985,28.9648991
11,11,0,Centronyx henslowii,-74.0010986,40.8666
17,17,0,Centronyx henslowii,-80.8964996,28.5436993
18,18,0,Centronyx henslowii,-76.1605988,36.7751007
20,20,0,Centronyx henslowii,-95.4852982,30.2355995
21,21,0,Centronyx henslowii,-71.1212006,42.3317986
23,23,0,Centronyx henslowii,-81.3358994,27.2075005
24,24,0,Centronyx henslowii,-78.2102966,36.6071014
25,25,0,Centronyx henslowii,-81.2944031,27.6786995
26,26,0,Centronyx henslowii,-95.185997,32.2549019
28,28,0,Centronyx henslowii,-81.3127975,27.3068008
29,29,0,Centronyx henslowii,-81.8767014,28.1005001
30,30,0,Centronyx henslowii,-89.8945999,30.2702999
31,31,0,Centronyx henslowii,-85.075798,31.9950008
32,32,0,Centronyx henslowii,-90.0217972,30.4820995
34,34,0,Centronyx henslowii,-79.0659027,33.5083008
37,37,0,Centronyx henslowii,-85.0361023,30.0823002
41,41,0,Centronyx henslowii,-81.5995026,28.6893005
43,43,0,Centronyx henslowii,-94.5562973,32.8997993
46,46,0,Centronyx henslowii,-82.6427002,28.2551003
49,49,0,Centronyx henslowii,-97.4163971,28.1130009
52,52,0,Centronyx henslowii,-87.6884995,30.2625008
54,54,0,Centronyx henslowii,-84.1695023,30.1879005
56,56,0,Centronyx henslowii,-95.8395004,30.0291004
62,62,0,Centronyx henslowii,-87.7229996,30.7996998
63,63,0,Centronyx henslowii,-87.5842972,30.2756996
65,65,0,Centronyx henslowii,-82.3031006,29.6068993
66,66,0,Centronyx henslowii,-82.3630981,29.6396999
67,67,0,Centronyx henslowii,-93.0502014,31.0428009
69,69,0,Centronyx henslowii,-90.1656036,30.5249004
71,71,0,Centronyx henslowii,-95.4721985,29.0503006
75,75,0,Centronyx henslowii,-94.9770966,30.3278999
76,76,0,Centronyx henslowii,-94.3899002,29.5737
77,77,0,Centronyx henslowii,-87.669899,30.2646999
79,79,0,Centronyx henslowii,-92.3852005,36.3353996
81,81,0,Centronyx henslowii,-94.5800018,32.8317986
86,86,0,Centronyx henslowii,-94.1680984,32.7436981
88,88,0,Centronyx henslowii,-95.5578995,29.1417999
90,90,0,Centronyx henslowii,-82.1211014,28.3444996
92,92,0,Centronyx henslowii,-94.6893997,32.4281006
95,95,0,Centronyx henslowii,-97.120903,28.7415009
97,97,0,Centronyx henslowii,-96.3343964,30.6280003
98,98,0,Centronyx henslowii,-94.7405014,32.5008011
99,99,0,Centronyx henslowii,-95.6883011,33.3734016
101,101,0,Centronyx henslowii,-92.4698029,33.537899
102,102,0,Centronyx henslowii,-91.9611969,33.1282005
103,103,0,Centronyx henslowii,-92.2940979,33.8583984
104,104,0,Centronyx henslowii,-93.0538025,34.1208992
106,106,0,Centronyx henslowii,-89.8254013,35.1408005
107,107,0,Centronyx henslowii,-90.1409988,35.0596008
113,113,0,Centronyx henslowii,-82.296402,29.5799007
114,114,0,Centronyx henslowii,-94.7553024,32.5009995
116,116,0,Centronyx henslowii,-81.1521988,27.9312
117,117,0,Centronyx henslowii,-81.4680023,32.0769005
119,119,0,Centronyx henslowii,-95.3330994,29.0662003
120,120,0,Centronyx henslowii,-94.4108963,30.5478992
122,122,0,Centronyx henslowii,-82.831398,28.0706005
123,123,0,Centronyx henslowii,-95.2347031,29.0477009
124,124,0,Centronyx henslowii,-82.7804031,30.4123001
128,128,0,Centronyx henslowii,-84.0149994,39.5643997
133,133,0,Centronyx henslowii,-92.2319031,32.6394005
136,136,0,Centronyx henslowii,-88.2789993,35.1076012
137,137,0,Centronyx henslowii,-96.0139999,29.9584999
138,138,0,Centronyx henslowii,-95.7095032,29.9620991
139,139,0,Centronyx henslowii,-93.6986008,29.7626991
140,140,0,Centronyx henslowii,-82.1722031,34.5744019
142,142,0,Centronyx henslowii,-90.1048965,30.4783993
145,145,0,Centronyx henslowii,-94.0703964,32.6763992
146,146,0,Centronyx henslowii,-95.9409027,32.8548012
147,147,0,Centronyx henslowii,-94.4512024,32.0404015
149,149,0,Centronyx henslowii,-94.2008972,33.2812004
150,150,0,Centronyx henslowii,-95.9723969,32.8600006
152,152,0,Centronyx henslowii,-95.8929977,28.7213001
153,153,0,Centronyx henslowii,-80.8315964,28.8146
154,154,0,Centronyx henslowii,-95.6539993,29.7353992
156,156,0,Centronyx henslowii,-92.2220993,32.6188011
157,157,0,Centronyx henslowii,-94.7630997,29.5349007
158,158,0,Centronyx henslowii,-91.8403015,31.2017002
