,species,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
0,Centronyx henslowii,30.002773,-84.97685,,1999
1,Centronyx henslowii,30.418446,-90.18775,,1998
2,Centronyx henslowii,29.596893,-82.28846,,1999
3,Centronyx henslowii,31.505312,-94.76326,,1996
4,Centronyx henslowii,29.597116,-82.290886,,1999
5,Centronyx henslowii,29.671349,-96.273705,,2000
6,Centronyx henslowii,30.432867,-89.96867,,1982
7,Centronyx henslowii,30.500261,-90.106064,,1983
8,Centronyx henslowii,28.95415,-95.35962,,1991
9,Centronyx henslowii,30.445547,-88.66066,,1997
10,Centronyx henslowii,29.596073,-82.2858,,1994
11,Centronyx henslowii,32.75148,-94.49497,,1999
12,Centronyx henslowii,28.96486,-95.46377,,1991
13,Centronyx henslowii,40.866558,-74.00112,,1992
14,Centronyx henslowii,31.596357,-81.490105,,1997
15,Centronyx henslowii,30.005486,-84.47693,,1987
16,Centronyx henslowii,31.629242,-81.44497,,1997
17,Centronyx henslowii,30.159933,-84.9641,,1980
18,Centronyx henslowii,32.668358,-94.16571,,2000
19,Centronyx henslowii,28.543663,-80.89654,,2000
20,Centronyx henslowii,36.77512,-76.160614,,1970
21,Centronyx henslowii,29.911161,-95.8635,,1999
22,Centronyx henslowii,30.235563,-95.48527,,1996
23,Centronyx henslowii,42.3318,-71.1212,,1982
24,Centronyx henslowii,28.966536,-95.4634,,1991
25,Centronyx henslowii,31.318594,-81.589966,,1994
26,Centronyx henslowii,28.971502,-95.45909,,1990
27,Centronyx henslowii,27.207478,-81.3359,,1982
28,Centronyx henslowii,36.6071,-78.2103,,1975
29,Centronyx henslowii,27.678663,-81.294365,,1995
30,Centronyx henslowii,32.25491,-95.18602,,1993
31,Centronyx henslowii,29.087267,-95.40119,,1984
32,Centronyx henslowii,27.306808,-81.3128,,1982
33,Centronyx henslowii,28.100521,-81.876686,,1989
34,Centronyx henslowii,30.270262,-89.894554,,1975
