OID_,Id,Species,decLong,decLat
0,0,Centronyx henslowii,-84.9768982,30.0028000
1,0,Centronyx henslowii,-90.1877975,30.4183998
2,0,Centronyx henslowii,-82.2884979,29.5969009
3,0,Centronyx henslowii,-94.7632980,31.5053005
4,0,Centronyx henslowii,-96.2736969,29.6713009
5,0,Centronyx henslowii,-89.9686966,30.4328995
6,0,Centronyx henslowii,-90.1061020,30.5002995
7,0,Centronyx henslowii,-95.3595963,28.9540997
8,0,Centronyx henslowii,-88.6606979,30.4454994
9,0,Centronyx henslowii,-94.4950027,32.7514992
10,0,Centronyx henslowii,-95.4637985,28.9648991
11,0,Centronyx henslowii,-74.0010986,40.8666000
12,0,Centronyx henslowii,-81.4900970,31.5963993
13,0,Centronyx henslowii,-84.4768982,30.0055008
14,0,Centronyx henslowii,-81.4449997,31.6292000
15,0,Centronyx henslowii,-84.9641037,30.1599007
16,0,Centronyx henslowii,-94.1657028,32.6683998
17,0,Centronyx henslowii,-80.8964996,28.5436993
18,0,Centronyx henslowii,-76.1605988,36.7751007
19,0,Centronyx henslowii,-95.8635025,29.9111996
20,0,Centronyx henslowii,-95.4852982,30.2355995
21,0,Centronyx henslowii,-71.1212006,42.3317986
22,0,Centronyx henslowii,-81.5899963,31.3185997
23,0,Centronyx henslowii,-81.3358994,27.2075005
24,0,Centronyx henslowii,-78.2102966,36.6071014
25,0,Centronyx henslowii,-81.2944031,27.6786995
26,0,Centronyx henslowii,-95.1859970,32.2549019
27,0,Centronyx henslowii,-95.4011993,29.0872993
28,0,Centronyx henslowii,-81.3127975,27.3068008
29,0,Centronyx henslowii,-81.8767014,28.1005001
30,0,Centronyx henslowii,-89.8945999,30.2702999
31,0,Centronyx henslowii,-85.0757980,31.9950008
32,0,Centronyx henslowii,-90.0217972,30.4820995
33,0,Centronyx henslowii,-71.1743011,42.3148003
34,0,Centronyx henslowii,-79.0659027,33.5083008
35,0,Centronyx henslowii,-95.2745972,29.0592003
36,0,Centronyx henslowii,-86.6352005,30.4689007
37,0,Centronyx henslowii,-85.0361023,30.0823002
38,0,Centronyx henslowii,-93.8283997,32.4491997
39,0,Centronyx henslowii,-82.6751022,28.1926994
40,0,Centronyx henslowii,-89.9759979,30.4214001
41,0,Centronyx henslowii,-81.5995026,28.6893005
42,0,Centronyx henslowii,-72.3196030,41.2798004
43,0,Centronyx henslowii,-94.5562973,32.8997993
44,0,Centronyx henslowii,-74.9608002,38.9613991
45,0,Centronyx henslowii,-81.7605972,30.4824009
46,0,Centronyx henslowii,-82.6427002,28.2551003
47,0,Centronyx henslowii,-94.6143036,31.5284004
48,0,Centronyx henslowii,-82.6540985,28.0930004
49,0,Centronyx henslowii,-97.4163971,28.1130009
50,0,Centronyx henslowii,-82.5139999,41.9553986
51,0,Centronyx henslowii,-96.0391006,29.9517002
52,0,Centronyx henslowii,-87.6884995,30.2625008
53,0,Centronyx henslowii,-91.0921021,30.2696991
54,0,Centronyx henslowii,-84.1695023,30.1879005
55,0,Centronyx henslowii,-90.5109024,30.8293991
56,0,Centronyx henslowii,-95.8395004,30.0291004
57,0,Centronyx henslowii,-85.4495010,32.5859985
58,0,Centronyx henslowii,-89.9917984,30.4531994
59,0,Centronyx henslowii,-84.1511993,30.0785999
60,0,Centronyx henslowii,-91.9521027,33.5643997
